,name,commodity
583,Reunion Gold Corporation,Gold
584,Revelo Resources Corp.,Gold
585,Revival Gold Inc.,Gold
586,Rio Tinto,Gold
587,Riverside Resources Inc.,Gold
588,RJK Explorations Ltd.,Gold
589,RNC Minerals,Gold
590,Rockcliff Metals Corporation,Gold
591,ROKMASTER Resources Corp.,Gold
592,Romios Gold Resources Inc.,Gold
593,Roscan Gold Corporation,Gold
594,Roxgold Inc.,Gold
595,Royal Canadian Mint,Gold
596,Royal Road Minerals,Gold
597,Rugby Mining Limited,Gold
598,S2 Resources Ltd.,Gold
599,Sabina Gold & Silver Corp.,Gold
600,Salazar Resources Limited,Gold
601,Sandstorm Gold Royalties,Gold
602,Searchlight Resources Inc.,Gold
603,SEMAFO Inc.,Gold
604,Serabi Gold plc,Gold
605,Serengeti Resources Inc.,Gold
606,Sherritt International Corporation,Gold
607,Sierra Metals Inc.,Gold
608,SilverCrest Metals Inc.,Gold
609,Sirios Resources Inc.,Gold
610,Sitka Gold Corp,Gold
611,Skeena Resources Ltd.,Gold
612,Skyharbour Resources Ltd.,Gold
613,Sokoman Minerals Corp.,Gold
614,SolGold,Gold
615,Sonoro Metals Corp.,Gold
616,Sphinx Resources Ltd.,Gold
617,Spirit Mining LLC,Gold
618,Sprott Group of Companies,Gold
619,Starcore International Mines Ltd.,Gold
620,Steppe Gold Limited,Gold
621,Stratabound Minerals Corp.,Gold
622,Strategic Exploration Group,Gold
623,Stuhini Exploration Ltd.,Gold
624,Sun Peak Metals,Gold
625,Talisker Resources,Gold
626,Tectonic Metals Inc.,Gold
627,Telson Mining Corporation,Gold
628,Tempus Resources Limited,Gold
629,Teranga Gold Corporation,Gold
630,Tethyan Resource Corp.,Gold
631,Timberline Resources Corporation,Gold
632,Transition Metals Corp.,Gold
633,Treasury Metals Inc.,Gold
634,Tres-Or Resources Ltd.,Gold
635,Tri Origin Exploration Ltd.,Gold
636,Trilogy Metals Inc.,Gold
637,TriStar Gold Inc.,Gold
638,Triumph Gold Corp.,Gold
639,Troilus Gold Corp.,Gold
640,Tudor Gold Corp.,Gold
641,Unigold Inc.,Gold
642,Ur-Energy Inc.,Gold
643,Valoriza Mineria SL,Gold
644,Velocity Minerals Ltd.,Gold
645,Vior Inc.,Gold
646,Vista Gold Corp.,Gold
647,Viva Gold Corp.,Gold
648,Vizsla Resources Corp.,Gold
649,VR Resources Ltd.,Gold
650,Wallbridge Mining Company Limited,Gold
651,Wealth Minerals Ltd.,Gold
652,Wesdome Gold Mines,Gold
653,West Red Lake Gold Mines Inc.,Gold
654,Western Alaska Copper and Gold,Gold
655,Western Atlas Resources Inc.,Gold
656,Western Copper and Gold Corporation,Gold
657,Westhaven Ventures Inc.,Gold
