name,exchange,symbol,stock,add,country
Greg Exploration Inc.,,,,"345 Chemin Castors Rouyn-Noranda, QC J9Y 0E7",ca
Grid Metals Corp.,TSX-Venture ,GRDM ,0.15 CDN,"3335 Yonge St, Toronto, ON M4N 2M1",ca
Grizzly Discoveries Inc.,TSX-Venture/OTCQB/FWB,GZD/GZDIF/G6H,0.03 CDN,"170 St NW, Edmonton, AB T5T 5L4",ca
GT Gold Corp.,TSX-Venture ,GTT ,1.45 CDN,"666 Burrard St, Vancouver, BC V6C 3P6",ca
Hammer Metals Ltd,Sydney (ASX),HMX,0.02 AUS,"827 Beaufort St, Mount Lawley, WA 6052",au
Happy Creek Minerals Ltd.,TSX-Venture ,HPY ,0.08 CDN,"789 W Pender St, Vancouver, BC V6C 1H2",ca
Harfang Exploration Inc.,TSX-Venture ,HAR,0.25 CDN,"1100 Avenue des Canadiens-de-Montréal, Montréal, QC H3B 2S2",ca
Harte Gold Corp.,TSE/OTCQX/Frankfurt,HRT/HRTFF/H4O,0.15 CDN,"161 Bay St, Toronto, ON M5J2S1",ca
Hecla Mining Company,NYSE,HL,3.06 USD,"800 W Pender St, Vancouver, BC V6C 2V6",ca
High Power Exploration,(See partner companies) ,,,"999 Canada Place, Vancouver, BC V6C 3E1",ca
HighGold Mining Inc,TSX-Venture/OTCQB,HIGH/HGGOF,1.13 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
HPQ Silicon Resources,TSX-Venture ,HPQ,0.08 CDN,"3000 Rue Omer Lavallée, Montréal, QC H1Y 3R8",ca
Hudson Resources Inc.,TSX-Venture/OTCQB,HUD/HUDRF,0.21 CDN,"1639 W 2nd Ave, Vancouver, BC V6J 1H3",ca
IAMGOLD Corporation,TSE/NYSE,IMG/IAG,3.98  CDN,"401 Bay St, Toronto, ON M5H 2Y4",ca
Impact Silver Corp.,TSX-Venture/Frankfurt,IPT/IKL,0.43 CDN,"543 Granville St, Vancouver, BC V6C 1X8",ca
Inca One Gold Corp.,TSX-Venture ,IO,0.18 CDN,"1140 W Pender, Vancouver, BC V6E 4G1",ca
Independence Gold Corp.,TSX-Venture ,IGO ,0.06 CDN,"625 Howe St, Vancouver, BC, V6C 2T6",ca
Integra Resources Corp.,TSX-Venture/OTCQX ,ITR/IRRZF,1.32 CDN,"400 Burrard St, Vancouver, BC V6C 3A6",ca
International Millennium Mining Corp.,TSX-Venture ,IMI,0.03 CDN,"20 Sixth St, New Westminster, BC V3L 2Y8",ca
ioneer,Sydney (ASX),INR,0.18 AUS,"140 Arthur St, North Sydney, NSW 2060",au
IsoEnergy Ltd.,TSX-Venture/OTCQX ,ISO/ISENF,0.38 CDN,"1055 W Hastings St, Vancouver, BC V6E 2E9",ca
Ivanhoe Mines,TSE/OTCQX,IVN/IVPAF,3.42 CDN,"999 Canada Place Vancouver, BC V6C3E1",ca
Jaguar Mining Inc.,TSE/OTCQX,JAG/JAGEF,0.22 CDN,"100 King St W, Toronto, ON M5X 1C9",ca
