name,commodity
Viva Gold Corp.,Gold
Vizsla Resources Corp.,Gold
VR Resources Ltd.,Gold
Wallbridge Mining Company Limited,Gold
Wealth Minerals Ltd.,Gold
Wesdome Gold Mines,Gold
West Red Lake Gold Mines Inc.,Gold
Western Alaska Copper and Gold,Gold
Western Atlas Resources Inc.,Gold
Western Copper and Gold Corporation,Gold
Westhaven Ventures Inc.,Gold
Wheaton Precious Metals Corp.,Gold
White Gold Corp.,Gold
White Rock Minerals,Gold
Wildsky Resources Inc.,Gold
Windfall Geotek Inc.,Gold
Xiana Mining Inc.,Gold
Ximen Mining Corp.,Gold
X-Terra Resources,Gold
Yamana Gold Inc.,Gold
Yorbeau Resources Inc.,Gold
Yukon Mining Alliance,Gold
Zephyr Minerals Ltd.,Gold
Altius Minerals Corp.,Iron ore
Anglo American,Iron ore
BHP,Iron ore
Century Global Commodities Corporation,Iron ore
FPX Nickel Corp.,Iron ore
Mira Stone Ltd,Iron ore
Mississauga Mining,Iron ore
Monument Mining Limited,Iron ore
Mosra Enerji,Iron ore
Panthera Resources Plc,Iron ore
Rio Tinto,Iron ore
Vale Canada Limited,Iron ore
Adriatic Metals Plc,Lead
Adventus Mining Corporation,Lead
Affinity Metals  Corp,Lead
Aftermath Silver Ltd,Lead
Alexco Resource Corp.,Lead
Americas Gold and Silver,Lead
Ascendant Resources Inc.,Lead
Avino Silver & Gold Mines Ltd.,Lead
Azure Minerals Limited,Lead
BeMetals Corp.,Lead
Blind Creek Resources Ltd.,Lead
Cerro de Pasco Resources Inc.,Lead
CVK Mining Group,Lead
Discovery Group,Lead
Eagle Plains Resources Ltd.,Lead
EMX Royalty Corp.,Lead
Geophysx Jamaica Ltd,Lead
Globmine LLP,Lead
Golden Arrow Resources,Lead
GR Sliver Mining Ltd.,Lead
Hecla Mining Company,Lead
International Millennium Mining Corp.,Lead
Klondike Silver Corp.,Lead
Kootenay Silver Inc.,Lead
Lundin Group,Lead
MANAGEM Group,Lead
Manex Resource Group Inc.,Lead
Maya Gold & Silver Inc.,Lead
Metallic Group of Companies,Lead
Mira Stone Ltd,Lead
Murchison Minerals Ltd.,Lead
NorZinc Ltd,Lead
Patagonia Exploracion S.A.,Lead
Peel Mining Ltd.,Lead
Prophecy Development Corp.,Lead
Red Cloud Securities Inc.,Lead
ROKMASTER Resources Corp.,Lead
ScoZinc Mining Ltd.,Lead
Sierra Metals Inc.,Lead
Silvercorp Metals Inc.,Lead
South32 Limited,Lead
Sphinx Resources Ltd.,Lead
Strategic Exploration Group,Lead
Stuhini Exploration Ltd.,Lead
Telson Mining Corporation,Lead
Tethyan Resource Corp.,Lead
Trevali Mining Corporation,Lead
Valoriza Mineria SL,Lead
Western Alaska Copper and Gold,Lead
White Rock Minerals,Lead
Yukon Mining Alliance,Lead
Altius Minerals Corp.,Nickel
ALX Resources Corp.,Nickel
Anglo American,Nickel
Aurum Discovery,Nickel
Balmoral Resources Ltd.,Nickel
BeMetals Corp.,Nickel
BHP,Nickel
Blackstone Minerals Ltd,Nickel
BWR Exploration Inc.,Nickel
Canada Nickel Company,Nickel
CanAlaska Uranium Ltd.,Nickel
Centaurus Metals Ltd,Nickel
Commander Resources Ltd.,Nickel
EMX Royalty Corp.,Nickel
Forum Energy Metals Corp.,Nickel
FPX Nickel Corp.,Nickel
Globex Mining Enterprises Inc.,Nickel
Gossan Resources Limited,Nickel
Harfang Exploration Inc.,Nickel
High Power Exploration,Nickel
Lara Exploration Ltd.,Nickel
Longland Resources Ltd,Nickel
Lundin Group,Nickel
Metallic Group of Companies,Nickel
Midland Exploration Inc.,Nickel
Mira Stone Ltd,Nickel
Murchison Minerals Ltd.,Nickel
Noront Resources Ltd.,Nickel
Northern Shield Resources Inc.,Nickel
Opus One Resources Inc.,Nickel
Orford Mining Corp.,Nickel
Palladium One,Nickel
Pancontinental Resources Corporation,Nickel
Playfair Mining Ltd.,Nickel
PolyMet Mining Corp.,Nickel
Power Ore Inc.,Nickel
Red Cloud Securities Inc.,Nickel
Rio Tinto,Nickel
RNC Minerals,Nickel
Searchlight Resources Inc.,Nickel
South32 Limited,Nickel
SPC Metals,Nickel
Sphinx Resources Ltd.,Nickel
Strategic Exploration Group,Nickel
Talon Metals Corp.,Nickel
Transition Metals Corp.,Nickel
UEX Corporation,Nickel
Vale Canada Limited,Nickel
Valoriza Mineria SL,Nickel
Victory Nickel Inc.,Nickel
Vulcan Minerals Inc.,Nickel
Windfall Geotek Inc.,Nickel
Yukon Mining Alliance,Nickel
BHP,Oil & Gas
Desert Mountain Energy Corp.,Oil & Gas
Fomicruz S.E.,Oil & Gas
Lundin Group,Oil & Gas
Andino Commodities S.A.S,Other
Aranjin Resources Ltd,Other
Ares Strategic Mining Inc.,Other
Blackstone Minerals Ltd,Other
