,name,biztype
550,Datamine Software Canada,Software Company
551,Deswik,Software Company
552,DroneDeploy,Software Company
553,Enersoft,Software Company
554,Esri Canada,Software Company
555,GEOREKA Software,Software Company
556,Géotic Inc.,Software Company
557,Geovariances,Software Company
558,Hexagon Mining,Software Company
559,Imago Inc.,Software Company
560,Jambo,Software Company
561,Krux Analytics,Software Company
562,Maptek,Software Company
563,MICROMINE,Software Company
564,Minerva Intelligence Inc.,Software Company
565,Mira Geoscience Ltd.,Software Company
566,Promine,Software Company
567,Seequent,Software Company
568,ThreeDify Inc.,Software Company
569,Trimble,Software Company
570,Trueminer Software Inc.,Software Company
571,"Laurentian University, Harquail School of Earth Sciences",University/College
572,Manitoba Geoscience Education,University/College
573,"Queen's University, Department of Geology",University/College
574,Schulich Executive Education Centre (SEEC),University/College
575,Université de Lorraine,University/College
576,University of Toronto,University/College
577,"University of Waterloo, Department of Earth and Environmental Sciences",University/College
